item_id,item_name,quantity,reorder_threshold,supplier_name,supplier_email,last_stock_update_time
1f3b5d6a-4bce-4b90-8c0c-dc71a9f81e65,Apple AirPods Pro,4,10,Apple Inc.,support@apple.com,2024-09-08T14:30:00
a3b5c8f9-2124-4d85-bc11-1f6312e05bd0,Logitech MX Master 3,20,15,Logitech,info@logitech.com,2024-09-09T09:00:00
b0f8326c-3c35-4f71-91d2-5c2fbb4c8bb8,HP OfficeJet Pro 9015,7,10,HP Inc.,support@hp.com,2024-09-07T12:45:00
6e9c24e7-5d4a-4c77-9ed3-ec45f8a55a4c,Samsung 32” 4K Monitor,12,10,Samsung Electronics,info@samsung.com,2024-09-09T16:20:00
2f6d3a5e-2d42-4c88-8d6b-f1ea5a99fc63,Bose QuietComfort 35 II,5,10,Bose Corporation,contact@bose.com,2024-09-08T10:10:00
9b2d5c8e-2e3a-4c58-93b9-a0e11f9d8a1e,Seagate Backup Plus 2TB,30,20,Seagate Technology,support@seagate.com,2024-09-08T15:05:00
d7f2c7b9-f5a1-4b1e-915c-0d6f1d7f2c7b,Nintendo Switch,3,5,Nintendo,service@nintendo.com,2024-09-09T08:30:00
6e2d4d8b-5a1b-4a87-985d-63f8b2f32e7e,Sony WH-1000XM4,25,20,Sony Electronics,help@sony.com,2024-09-09T11:15:00
b14fc89b-5d95-4b5d-9b83-8969c6311eeb,Canon EOS R5,6,10,Canon Inc.,support@canon.com,2024-09-08T14:30:00
d63f2a1d-4eae-4a35-bb85-b2fdf918bcfa,Nintendo Switch Pro Controller,22,15,Nintendo,info@nintendo.com,2024-09-09T09:00:00
e5b8d622-9c3f-4b29-92a0-8e2b72e57e37,Dell XPS 13,4,10,Dell Technologies,support@dell.com,2024-09-07T12:45:00
c42f8bb6-283a-4ecf-bec0-c62e2b6de09b,Asus ROG Strix GTX 3080,8,10,Asus,info@asus.com,2024-09-09T16:20:00
3d5b7e6c-560f-42e4-8f2a-6c0cb7d00e4e,Microsoft Surface Laptop 4,14,10,Microsoft,contact@microsoft.com,2024-09-08T10:10:00
9e0b02d9-7e3f-4e8d-920f-00a7437edcbb,Apple MacBook Pro 16,5,10,Apple Inc.,support@apple.com,2024-09-08T15:05:00
f2b6d3f9-792a-4ec5-85d2-df49e3b78b3e,Google Nest Hub,30,20,Google,service@google.com,2024-09-09T08:30:00
4e2bdf1e-3f28-4f15-9c4e-3d97a53f5b8d,Fitbit Charge 5,20,15,Fitbit Inc.,support@fitbit.com,2024-09-09T11:15:00
d95d9f88-dad7-47f2-8a78-fd1c8289e97b,Sony A7 III,7,10,Sony Electronics,support@sony.com,2024-09-08T14:30:00
2e4d9c6e-b76e-4f85-a15e-c682832b78f9,Lenovo ThinkPad X1 Carbon,16,10,Lenovo,info@lenovo.com,2024-09-09T09:00:00
